CRS_NAME,COURSES_ID,TERM_REPORTING_YEAR,C4AP
CUL-162B,1391,2020,5
SPA-105,4562,2014,6
SPE-104,4833,2020,9
THE-208,4929,2013,2
FIR-172E,5819,2017,2
HEA-144B,5283,2013,2
MOA-133,3242,2015,2
MUS-133B,3401,2015,3
PEF-135F,5259,2014,1
SPA-101,4559,2013,10
CUL-164C,1410,2019,1
CUL-172C,1426,2020,6
ECO-101,1836,2011,10
ENG-201,2048,2019,20
ENG-206,2051,2011,5
EVS-133,2178,2015,6
ART-142,198,2017,5
ART-201,211,2014,5
BIO-121,279,2012,1
CAO-155,723,2011,2
CIS-107,6167,2020,5
CUL-164A,1408,2016,2
THE-111J,4864,2011,1
THE-134B,5187,2013,5
WLD-125A,5562,2014,2
MUS-141A,3419,2012,2
PET-104,5523,2017,1
PHY-105,4305,2020,12
POL-101,4323,2013,3
REL-104,4392,2011,5
SPA-122EA,5801,2020,4
ENG-208A,2054,2013,3
ENG-215,2063,2011,5
FRE-141,2353,2014,2
GER-142,2455,2015,1
MAT-107,3148,2015,6
MUS-104E,3267,2011,4
ART-112,5654,2019,2
ART-147,203,2014,5
ART-210,225,2016,1
ART-211,226,2011,7
ART-215,5658,2018,6
BSN-110A,5540,2016,4
SPA-154Q,5304,2015,2
SPA-154R,4687,2020,5
SPA-160AA,4712,2014,2
SPA-203,4820,2019,34
WLD-126A,5407,2018,6
WLD-128C,4976,2013,2
PEF-101C,5291,2017,1
PEF-140F,5265,2016,1
PHY-108,4308,2013,4
PSY-106,4357,2013,4
SPA-102,4560,2014,13
SPA-154P,4685,2013,2
ENG-205,2050,2019,12
ENG-219H,2075,2013,1
FRE-101,2341,2017,3
GER-141,2454,2018,4
HEA-144B,2733,2012,2
HIS-105,2841,2013,2
DAN-112B,1529,2012,1
DAN-126D,5132,2013,2
DAN-127E,5141,2015,2
DAN-141B,5145,2013,2
EDU-100,5635,2018,4
ENG-113,1882,2020,9
BSN-110B,5541,2015,9
BSN-158C,518,2011,1
CIS-120A,872,2017,2
COU-122,990,2019,6
CUL-106,1358,2016,4
CUL-172E,1428,2018,6
ART-115,93,2019,22
ART-122,5269,2016,9
ART-128,100,2012,1
ART-216,231,2015,6
BSN-135,503,2013,3
CIS-101,866,2015,2
SPA-156F,4697,2013,2
SPA-157A,4701,2011,4
SPA-157C,4703,2020,10
SPA-183A,4739,2016,2
THE-136B,5206,2012,1
THE-136D,5211,2013,5
PSY-102,5342,2014,8
PSY-210,5335,2014,8
PSY-210,4378,2018,17
SPA-124A,4575,2015,3
SPA-124A,4575,2018,10
SPA-156AA,4690,2014,2
GSE-126,2559,2018,6
HEA-149,2740,2012,4
ITA-101,3033,2012,4
MAT-202,3234,2011,4
MUS-104D,3266,2014,8
POR-143,4348,2014,2
CUL-128,1366,2012,1
DAN-142A,5147,2014,2
ECE-202,5348,2013,3
ECO-102,5547,2014,11
ENG-205,2050,2015,5
GEG-107,2382,2016,3
ART-213,228,2013,7
ART-221B,5627,2017,4
ART-223,238,2014,4
ART-249,265,2017,1
ASL-101,5775,2020,6
BSN-105,485,2016,2
THE-135B,5197,2013,5
WLD-107B,4949,2013,6
PSY-108,4359,2016,1
SPA-105,4562,2015,5
SPA-121B,4566,2015,3
SPA-125A,4577,2016,1
SPA-160F,4719,2012,2
SPA-184A,4740,2012,2
FRE-102,2342,2017,5
ITA-143,3044,2014,2
MUS-104C,3265,2020,11
MUS-134B,3406,2014,4
MUS-141C,3421,2015,4
PHI-218,4251,2017,2
BSN-251,557,2017,1
CUL-172B,1425,2012,4
CUL-172G,1430,2017,3
ECE-110,1680,2019,8
FIR-170A,6159,2020,5
FIR-171A,2281,2013,2
ART-120B,5108,2015,1
ART-216,5659,2016,3
ART-219A,5074,2016,3
ART-233,5662,2015,5
ART-242,260,2015,2
BIO-110,274,2014,6
WLD-146E,5428,2016,2
